
 num     #instances         #bytes  class name
 439:             2             80  [Lsun.security.util.DisabledAlgorithmConstraints$Constraint$Operator;
 440:             2             80  [Lsun.util.locale.provider.LocaleProviderAdapter$Type;
 441:             2             80  java.io.BufferedWriter
 442:             2             80  java.io.ExpiringCache
 443:             2             80  java.lang.ClassLoader$NativeLibrary
 444:             5             80  java.lang.ThreadLocal
 445:             1             80  java.net.URI
 446:             2             80  java.util.HashMap$KeySpliterator
 447:             2             80  java.util.Locale$Category
 448:             5             80  java.util.concurrent.atomic.AtomicBoolean
 449:             5             80  java.util.regex.Pattern$Dot
 450:             5             80  java.util.stream.StreamOpFlag$MaskBuilder
 451:             5             80  java.util.stream.StreamSpliterators$WrappingSpliterator$$Lambda$233/440737101
 452:             5             80  java.util.stream.StreamSpliterators$WrappingSpliterator$$Lambda$234/369049246
 453:             2             80  org.junit.jupiter.engine.descriptor.JupiterEngineDescriptor
 454:             5             80  org.junit.platform.commons.util.Preconditions$$Lambda$61/233996206
 455:             2             80  org.junit.platform.launcher.core.InternalTestPlan
 456:             2             80  org.junit.vintage.engine.descriptor.VintageEngineDescriptor
 457:             2             80  sun.security.util.DisabledAlgorithmConstraints$KeySizeConstraint
 458:             1             72  [Ljava.lang.invoke.LambdaFormEditor$Transform$Kind;
 459:             3             72  java.io.FileReader
 460:             3             72  java.io.InputStreamReader
 461:             3             72  java.lang.annotation.RetentionPolicy
 462:             3             72  java.security.SecurityPermission
 463:             1             72  java.util.ResourceBundle$RBClassLoader
 464:             3             72  java.util.concurrent.atomic.AtomicMarkableReference$Pair
 465:             1             72  java.util.logging.LogManager$RootLogger
 466:             3             72  java.util.regex.Pattern$Dollar
 467:             3             72  java.util.stream.Collector$Characteristics
 468:             3             72  java.util.stream.MatchOps$MatchKind
 469:             3             72  org.junit.jupiter.engine.execution.ExtensionValuesStore
 470:             3             72  org.junit.jupiter.engine.execution.JupiterEngineExecutionContext$Builder
 471:             3             72  org.junit.jupiter.engine.extension.MutableExtensionRegistry
 472:             3             72  org.junit.jupiter.engine.extension.TimeoutConfiguration$$Lambda$265/573673894
 473:             3             72  org.junit.platform.engine.SelectorResolutionResult$Status
 474:             3             72  org.junit.platform.engine.TestDescriptor$Type
 475:             3             72  org.junit.platform.engine.support.hierarchical.NodeTestTask$DefaultDynamicTestExecutor
 476:             3             72  org.junit.platform.engine.support.hierarchical.NodeTreeWalker$$Lambda$172/1224347463
 477:             1             72  sun.util.locale.provider.JRELocaleProviderAdapter
 478:             3             72  sun.util.resources.ParallelListResourceBundle$KeySet
 479:             2             64  [Ljava.lang.Thread;
 480:             2             64  [Ljava.lang.annotation.RetentionPolicy;
 481:             2             64  [Ljava.lang.invoke.LambdaFormEditor$Transform;
 482:             4             64  [Ljava.lang.reflect.Parameter;
 483:             2             64  [Ljava.util.stream.Collector$Characteristics;
 484:             4             64  com.intellij.junit5.JUnit5TestExecutionListener$$Lambda$153/111156771
 485:             2             64  java.io.FileNotFoundException
 486:             2             64  java.io.PrintStream
 487:             2             64  java.lang.ClassValue$Entry
 488:             2             64  java.lang.NoSuchFieldError
 489:             2             64  java.lang.VirtualMachineError
 490:             4             64  java.lang.invoke.BoundMethodHandle$SpeciesData$1
 491:             2             64  java.lang.ref.ReferenceQueue$Null
 492:             2             64  java.util.ArrayList$ListItr
 493:             2             64  java.util.Collections$SynchronizedMap
 494:             4             64  java.util.Collections$UnmodifiableCollection
 495:             4             64  java.util.HashMap$EntrySet
 496:             4             64  java.util.regex.Pattern$Begin
 497:             4             64  org.junit.jupiter.engine.config.CachingJupiterConfiguration$$Lambda$78/255944888
 498:             4             64  org.junit.jupiter.engine.descriptor.DisplayNameUtils$$Lambda$77/708890004
 499:             4             64  org.junit.jupiter.engine.descriptor.JupiterTestDescriptor$$Lambda$85/2007331442
 500:             4             64  org.junit.jupiter.engine.descriptor.LifecycleMethodUtils$$Lambda$218/1642030774
 501:             2             64  org.junit.jupiter.engine.discovery.MethodSelectorResolver$$Lambda$64/388043093
 502:             2             64  org.junit.jupiter.engine.discovery.MethodSelectorResolver$MethodType$$Lambda$72/615634843
